datetimestamp,DO_mgL,TempC
1/21/2022 16:00,8.9,12.06
1/21/2022 17:00,8.83,11.42
1/21/2022 18:00,8.83,10.94
1/21/2022 19:00,8.74,10.72
1/21/2022 20:00,8.65,10.6
1/21/2022 21:00,8.03,11.02
1/21/2022 22:00,10.19,11.32
1/21/2022 23:00,10.64,11.22
1/22/2022 0:00,10.63,11.82
1/22/2022 1:00,10.57,11.9
1/22/2022 2:00,10.53,11.94
1/22/2022 3:00,10.53,11.6
1/22/2022 4:00,6.16,11.68
1/22/2022 5:00,6.53,11.38
1/22/2022 6:00,6.54,9.28
1/22/2022 7:00,6.51,8.84
1/22/2022 8:00,7.26,8.7
1/22/2022 9:00,7.48,9.14
1/22/2022 10:00,7.57,10.22
1/22/2022 11:00,6.81,11.2
1/22/2022 12:00,6.28,11.6
1/22/2022 13:00,5.84,12.4
1/22/2022 14:00,5.49,13.42
1/22/2022 15:00,5.24,14.9
1/22/2022 16:00,5.41,14.36
1/22/2022 17:00,5.57,12.92
1/22/2022 18:00,5.46,11.52
1/22/2022 19:00,5.75,9.92
1/22/2022 20:00,5.68,9.46
1/22/2022 21:00,5.58,9.06
1/22/2022 22:00,6.41,7.16
1/22/2022 23:00,12.13,6.24
1/23/2022 0:00,12.38,5.7
1/23/2022 1:00,12.52,5.34
1/23/2022 2:00,12.67,4.94
1/23/2022 3:00,10.19,4.44
1/23/2022 4:00,8.98,4.36
1/23/2022 5:00,3.74,4.44
1/23/2022 6:00,3.3,4.84
1/23/2022 7:00,3.31,5.54
1/23/2022 8:00,3.47,5.26
1/23/2022 9:00,3.56,5.7
1/23/2022 10:00,3.79,6.66
1/23/2022 11:00,3.82,7.62
1/23/2022 12:00,3.59,8.86
1/23/2022 13:00,2.69,10.26
1/23/2022 14:00,2.36,11.78
1/23/2022 15:00,2.02,13.5
1/23/2022 16:00,2.19,13.42
1/23/2022 17:00,2.65,12.32
1/23/2022 18:00,2.66,10.3
1/23/2022 19:00,2.52,8.64
1/23/2022 20:00,2.13,7.88
1/23/2022 21:00,1.9,8.16
1/23/2022 22:00,1.88,8.1
1/23/2022 23:00,6.03,7.92
1/24/2022 0:00,11.65,7.56
1/24/2022 1:00,11.76,7.22
1/24/2022 2:00,11.79,7.14
1/24/2022 3:00,8.01,6.94
1/24/2022 4:00,5.66,6.62
1/24/2022 5:00,3.24,6.24
1/24/2022 6:00,2.85,6.44
1/24/2022 7:00,2.79,6.42
1/24/2022 8:00,2.84,6.28
1/24/2022 9:00,2.84,6.62
1/24/2022 10:00,2.91,7.16
1/24/2022 11:00,3,7.82
1/24/2022 12:00,2.93,8.72
1/24/2022 13:00,1.59,10.26
1/24/2022 14:00,2.9,12.64
1/24/2022 15:00,2.67,13.96
1/24/2022 16:00,4.1,13.18
1/24/2022 17:00,4.75,12.2
1/24/2022 18:00,5.21,10.16
1/24/2022 19:00,5.39,8.7
1/24/2022 20:00,5.31,7.8
1/24/2022 21:00,5.1,7.18
1/24/2022 22:00,4.91,6.8
1/24/2022 23:00,4.6,6.52
1/25/2022 0:00,3.27,5
1/25/2022 1:00,13.21,3.42
1/25/2022 2:00,13.61,2.54
1/25/2022 3:00,6.88,3.86
1/25/2022 4:00,2.88,4.88
1/25/2022 5:00,2.65,4.02
1/25/2022 6:00,2.55,5.3
1/25/2022 7:00,2.53,5.5
1/25/2022 8:00,2.54,5.98
1/25/2022 9:00,2.65,6.76
1/25/2022 10:00,2.72,7.58
1/25/2022 11:00,2.75,8.4
1/25/2022 12:00,2.67,9.36
1/25/2022 13:00,2.42,10.46
1/25/2022 14:00,7.79,12.34
1/25/2022 15:00,9.38,14.3
1/25/2022 16:00,9.75,13.28
1/25/2022 17:00,8.35,11.96
1/25/2022 18:00,7.22,9.8
1/25/2022 19:00,6.38,9.12
1/25/2022 20:00,6.25,8.26
1/25/2022 21:00,5.55,9
1/25/2022 22:00,5.09,9.12
1/25/2022 23:00,5.02,8.9
1/26/2022 0:00,4.91,8.76
1/26/2022 1:00,4.83,8.26
1/26/2022 2:00,4.91,7.52
1/26/2022 3:00,4.74,6.64
1/26/2022 4:00,4.49,6.12
1/26/2022 5:00,4.25,5.84
1/26/2022 6:00,3.77,5.54
1/26/2022 7:00,3.19,4.88
1/26/2022 8:00,2.68,5.36
1/26/2022 9:00,2.33,6.26
1/26/2022 10:00,2.12,7.18
1/26/2022 11:00,2.1,8.08
1/26/2022 12:00,2.27,9.34
