datetimestamp,Baro_psi,TempC,Chla_RFU,Chla_ugL,ChlaC_ugL,DO_mgL,SPC,Saln_psu,Turb_NTU
6/9/2020 16:00,763.6073,20.18372,,11.98735,11.98735,8.034177,11526.03,6.642423,5.986662
6/9/2020 17:00,763.6073,23.45213,,7.96519,7.96519,8.679876,11617.92,6.712611,4.59664
6/9/2020 18:00,763.6073,21.79956,,10.13308,10.13308,8.185379,11507.77,6.638501,4.097935
6/9/2020 19:00,763.6073,22.87723,,8.627825,8.627825,8.879249,11610.73,6.706417,5.433411
6/9/2020 20:00,763.6073,23.17356,,7.888042,7.888042,8.832224,11635,6.722453,4.459866
6/9/2020 21:00,763.6073,22.91517,,9.125174,9.125174,8.743027,11689.81,6.755818,5.134603
6/9/2020 22:00,763.6073,22.38432,,7.995907,7.995907,8.652413,11672.76,6.743394,4.573826
6/9/2020 23:00,763.6073,22.33862,,7.621935,7.621935,8.620739,11712.83,6.768198,4.05169
6/10/2020 0:00,763.6073,22.01717,,7.653304,7.653304,8.464957,11714.52,6.768045,4.410789
6/10/2020 1:00,763.6073,21.89907,,7.92644,7.92644,8.382,11729.33,6.776813,3.81768
6/10/2020 2:00,763.6073,21.45835,,7.873652,7.873652,8.289679,11717.03,6.767325,4.327051
6/10/2020 3:00,763.6073,21.29052,,7.891742,7.891742,8.149527,11745.57,6.784361,3.959854
6/10/2020 4:00,763.6073,21.01862,,7.862724,7.862724,7.988444,11753.16,6.787841,4.663396
6/10/2020 5:00,763.6073,20.8595,,7.480042,7.480042,7.743294,11776.5,6.801619,4.904667
6/10/2020 6:00,763.6073,20.71773,,7.484275,7.484275,7.084084,11832.84,6.836009,7.710216
6/10/2020 7:00,763.6073,20.54694,,7.744858,7.744858,6.963928,11840.71,6.840041,6.386281
6/10/2020 8:00,763.6073,20.3759,,7.829498,7.829498,6.817772,11848.39,6.843927,8.521567
6/10/2020 9:00,763.6073,20.36919,,7.613112,7.613112,7.059311,11843.12,6.840612,7.099949
6/10/2020 10:00,763.6073,20.56061,,8.128039,8.128039,7.214276,11845.91,6.843351,5.548525
6/10/2020 11:00,763.6073,20.79252,,8.239434,8.239434,7.429976,11837.65,6.839375,5.0779
6/10/2020 12:00,763.6073,20.94959,,8.078597,8.078597,7.593411,11824.3,6.831824,4.971137
6/10/2020 13:00,763.6073,21.16761,,8.101756,8.101756,7.572122,11843.32,6.844705,4.463177
6/10/2020 14:00,763.6073,21.01934,,8.261098,8.261098,5.755034,11876.27,6.864542,5.903573
6/10/2020 15:00,763.6073,21.29259,,9.441303,9.441303,6.224962,11870.06,6.861941,4.693645
