"","Station","Datetime","Depth_m"
"1","DECK",2019-05-31,"0.742"
"2","DECK",2019-05-31 00:15:00,"0.837"
"3","DECK",2019-05-31 00:30:00,"0.843"
"4","DECK",2019-05-31 00:45:00,"0.835"
"5","DECK",2019-05-31 01:00:00,"0.819"
"6","DECK",2019-05-31 01:15:00,"0.869"
"7","DECK",2019-05-31 01:30:00,"0.88"
"8","DECK",2019-05-31 01:45:00,"0.926"
"9","DECK",2019-05-31 02:00:00,"0.919"
"10","DECK",2019-05-31 02:15:00,"0.911"
"11","DECK",2019-05-31 02:30:00,"0.939"
"12","DECK",2019-05-31 02:45:00,"0.914"
"13","DECK",2019-05-31 03:00:00,"0.903"
"14","DECK",2019-05-31 03:15:00,"0.873"
"15","DECK",2019-05-31 03:30:00,"0.832"
"16","DECK",2019-05-31 03:45:00,"0.781"
"17","DECK",2019-05-31 04:00:00,"0.73"
"18","DECK",2019-05-31 04:15:00,"0.676"
"19","DECK",2019-05-31 04:30:00,"0.613"
"20","DECK",2019-05-31 04:45:00,"0.57"
"21","DECK",2019-05-31 05:00:00,"0.519"
"22","DECK",2019-05-31 05:15:00,"0.455"
"23","DECK",2019-05-31 05:30:00,"0.417"
"24","DECK",2019-05-31 05:45:00,"0.386"
"25","DECK",2019-05-31 06:00:00,"0.342"
"26","DECK",2019-05-31 06:15:00,"0.31"
"27","DECK",2019-05-31 06:30:00,"0.266"
"28","DECK",2019-05-31 06:45:00,"0.241"
"29","DECK",2019-05-31 07:00:00,"0.201"
"30","DECK",2019-05-31 07:15:00,"0.192"
"31","DECK",2019-05-31 07:30:00,"0.172"
"32","DECK",2019-05-31 07:45:00,"0.136"
"33","DECK",2019-05-31 08:00:00,"0.09"
"34","DECK",2019-05-31 08:15:00,"0.098"
"35","DECK",2019-05-31 08:30:00,"0.089"
"36","DECK",2019-05-31 08:45:00,"0.079"
"37","DECK",2019-05-31 09:00:00,"0.086"
"38","DECK",2019-05-31 09:15:00,"0.09"
"39","DECK",2019-05-31 09:30:00,"0.093"
"40","DECK",2019-05-31 09:45:00,"0.105"
"41","DECK",2019-05-31 10:00:00,"0.122"
"42","DECK",2019-05-31 10:15:00,"0.153"
"43","DECK",2019-05-31 10:30:00,"0.194"
"44","DECK",2019-05-31 10:45:00,"0.237"
"45","DECK",2019-05-31 11:00:00,"0.279"
"46","DECK",2019-05-31 11:15:00,"0.34"
"47","DECK",2019-05-31 11:30:00,"0.404"
"48","DECK",2019-05-31 11:45:00,"0.466"
"49","DECK",2019-05-31 12:00:00,"0.521"
"50","DECK",2019-05-31 12:15:00,"0.569"
"51","DECK",2019-05-31 12:30:00,"0.612"
"52","DECK",2019-05-31 12:45:00,"0.652"
"53","DECK",2019-05-31 13:00:00,"0.685"
"54","DECK",2019-05-31 13:15:00,"0.729"
"55","DECK",2019-05-31 13:30:00,"0.753"
"56","DECK",2019-05-31 13:45:00,"0.776"
"57","DECK",2019-05-31 14:00:00,"0.792"
"58","DECK",2019-05-31 14:15:00,"0.8"
"59","DECK",2019-05-31 14:30:00,"0.807"
"60","DECK",2019-05-31 14:45:00,"0.805"
"61","DECK",2019-05-31 15:00:00,"0.804"
"62","DECK",2019-05-31 15:15:00,"0.794"
"63","DECK",2019-05-31 15:30:00,"0.773"
"64","DECK",2019-05-31 15:45:00,"0.752"
"65","DECK",2019-05-31 16:00:00,"0.721"
"66","DECK",2019-05-31 16:15:00,"0.689"
"67","DECK",2019-05-31 16:30:00,"0.65"
"68","DECK",2019-05-31 16:45:00,"0.612"
"69","DECK",2019-05-31 17:00:00,"0.577"
"70","DECK",2019-05-31 17:15:00,"0.547"
"71","DECK",2019-05-31 17:30:00,"0.518"
"72","DECK",2019-05-31 17:45:00,"0.489"
"73","DECK",2019-05-31 18:00:00,"0.457"
"74","DECK",2019-05-31 18:15:00,"0.424"
"75","DECK",2019-05-31 18:30:00,"0.396"
"76","DECK",2019-05-31 18:45:00,"0.373"
"77","DECK",2019-05-31 19:00:00,"0.348"
"78","DECK",2019-05-31 19:15:00,"0.326"
"79","DECK",2019-05-31 19:30:00,"0.306"
"80","DECK",2019-05-31 19:45:00,"0.285"
"81","DECK",2019-05-31 20:00:00,"0.278"
"82","DECK",2019-05-31 20:15:00,"0.273"
"83","DECK",2019-05-31 20:30:00,"0.274"
"84","DECK",2019-05-31 20:45:00,"0.282"
"85","DECK",2019-05-31 21:00:00,"0.3"
"86","DECK",2019-05-31 21:15:00,"0.337"
"87","DECK",2019-05-31 21:30:00,"0.379"
"88","DECK",2019-05-31 21:45:00,"0.438"
"89","DECK",2019-05-31 22:00:00,"0.505"
"90","DECK",2019-05-31 22:15:00,"0.574"
"91","DECK",2019-05-31 22:30:00,"0.637"
"92","DECK",2019-05-31 22:45:00,"0.686"
"93","DECK",2019-05-31 23:00:00,"0.741"
"94","DECK",2019-05-31 23:15:00,"0.79"
"95","DECK",2019-05-31 23:30:00,"0.841"
"96","DECK",2019-05-31 23:45:00,"0.889"
"97","DECK",2019-06-01,"0.936"
"98","DECK",2019-06-01 00:15:00,"0.982"
"99","DECK",2019-06-01 00:30:00,"1.015"
"100","DECK",2019-06-01 00:45:00,"1.058"
"101","DECK",2019-06-01 01:00:00,"1.089"
"102","DECK",2019-06-01 01:15:00,"1.105"
"103","DECK",2019-06-01 01:30:00,"1.127"
"104","DECK",2019-06-01 01:45:00,"1.14"
"105","DECK",2019-06-01 02:00:00,"1.174"
"106","DECK",2019-06-01 02:15:00,"1.121"
"107","DECK",2019-06-01 02:30:00,"1.181"
"108","DECK",2019-06-01 02:45:00,"1.176"
"109","DECK",2019-06-01 03:00:00,"1.162"
"110","DECK",2019-06-01 03:15:00,"1.139"
"111","DECK",2019-06-01 03:30:00,"1.105"
"112","DECK",2019-06-01 03:45:00,"1.064"
"113","DECK",2019-06-01 04:00:00,"1.014"
"114","DECK",2019-06-01 04:15:00,"0.963"
"115","DECK",2019-06-01 04:30:00,"0.911"
"116","DECK",2019-06-01 04:45:00,"0.865"
"117","DECK",2019-06-01 05:00:00,"0.817"
"118","DECK",2019-06-01 05:15:00,"0.77"
"119","DECK",2019-06-01 05:30:00,"0.725"
"120","DECK",2019-06-01 05:45:00,"0.68"
"121","DECK",2019-06-01 06:00:00,"0.633"
"122","DECK",2019-06-01 06:15:00,"0.586"
"123","DECK",2019-06-01 06:30:00,"0.54"
"124","DECK",2019-06-01 06:45:00,"0.492"
"125","DECK",2019-06-01 07:00:00,"0.369"
"126","DECK",2019-06-01 07:15:00,"0.32"
"127","DECK",2019-06-01 07:30:00,"0.292"
"128","DECK",2019-06-01 07:45:00,"0.215"
"129","DECK",2019-06-01 08:00:00,"0.196"
"130","DECK",2019-06-01 08:15:00,"0.145"
"131","DECK",2019-06-01 08:30:00,"0.11"
"132","DECK",2019-06-01 08:45:00,"0.074"
"133","DECK",2019-06-01 09:00:00,"0.07"
"134","DECK",2019-06-01 09:15:00,"0.036"
"135","DECK",2019-06-01 09:30:00,"0.04"
"136","DECK",2019-06-01 09:45:00,"0.066"
"137","DECK",2019-06-01 10:00:00,"0.101"
"138","DECK",2019-06-01 10:15:00,"0.12"
"139","DECK",2019-06-01 10:30:00,"0.13"
"140","DECK",2019-06-01 10:45:00,"0.148"
"141","DECK",2019-06-01 11:00:00,"0.164"
"142","DECK",2019-06-01 11:15:00,"0.194"
"143","DECK",2019-06-01 11:30:00,"0.26"
"144","DECK",2019-06-01 11:45:00,"0.325"
"145","DECK",2019-06-01 12:00:00,"0.397"
"146","DECK",2019-06-01 12:15:00,"0.473"
"147","DECK",2019-06-01 12:30:00,"0.535"
"148","DECK",2019-06-01 12:45:00,"0.591"
"149","DECK",2019-06-01 13:00:00,"0.643"
"150","DECK",2019-06-01 13:15:00,"0.693"
"151","DECK",2019-06-01 13:30:00,"0.742"
"152","DECK",2019-06-01 13:45:00,"0.785"
"153","DECK",2019-06-01 14:00:00,"0.822"
"154","DECK",2019-06-01 14:15:00,"0.85"
"155","DECK",2019-06-01 14:30:00,"0.86"
"156","DECK",2019-06-01 14:45:00,"0.877"
"157","DECK",2019-06-01 15:00:00,"0.894"
"158","DECK",2019-06-01 15:15:00,"0.902"
"159","DECK",2019-06-01 15:30:00,"0.909"
"160","DECK",2019-06-01 15:45:00,"0.913"
"161","DECK",2019-06-01 16:00:00,"0.911"
"162","DECK",2019-06-01 16:15:00,"0.904"
"163","DECK",2019-06-01 16:30:00,"0.895"
"164","DECK",2019-06-01 16:45:00,"0.866"
"165","DECK",2019-06-01 17:00:00,"0.844"
"166","DECK",2019-06-01 17:15:00,"0.811"
"167","DECK",2019-06-01 17:30:00,"0.776"
"168","DECK",2019-06-01 17:45:00,"0.742"
"169","DECK",2019-06-01 18:00:00,"0.698"
"170","DECK",2019-06-01 18:15:00,"0.659"
"171","DECK",2019-06-01 18:30:00,"0.635"
"172","DECK",2019-06-01 18:45:00,"0.614"
"173","DECK",2019-06-01 19:00:00,"0.581"
"174","DECK",2019-06-01 19:15:00,"0.557"
"175","DECK",2019-06-01 19:30:00,"0.531"
"176","DECK",2019-06-01 19:45:00,"0.512"
"177","DECK",2019-06-01 20:00:00,"0.489"
"178","DECK",2019-06-01 20:15:00,"0.468"
"179","DECK",2019-06-01 20:30:00,"0.452"
"180","DECK",2019-06-01 20:45:00,"0.448"
"181","DECK",2019-06-01 21:00:00,"0.448"
"182","DECK",2019-06-01 21:15:00,"0.459"
"183","DECK",2019-06-01 21:30:00,"0.48"
"184","DECK",2019-06-01 21:45:00,"0.515"
"185","DECK",2019-06-01 22:00:00,"0.55"
"186","DECK",2019-06-01 22:15:00,"0.61"
"187","DECK",2019-06-01 22:30:00,"0.673"
"188","DECK",2019-06-01 22:45:00,"0.741"
"189","DECK",2019-06-01 23:00:00,"0.803"
"190","DECK",2019-06-01 23:15:00,"0.859"
"191","DECK",2019-06-01 23:30:00,"0.911"
"192","DECK",2019-06-01 23:45:00,"0.963"
"193","DECK",2019-06-02,"1.011"
"194","DECK",2019-06-02 00:15:00,"1.056"
"195","DECK",2019-06-02 00:30:00,"1.105"
"196","DECK",2019-06-02 00:45:00,"1.15"
"197","DECK",2019-06-02 01:00:00,"1.191"
"198","DECK",2019-06-02 01:15:00,"1.218"
"199","DECK",2019-06-02 01:30:00,"1.249"
"200","DECK",2019-06-02 01:45:00,"1.283"
"201","DECK",2019-06-02 02:00:00,"1.303"
"202","DECK",2019-06-02 02:15:00,"1.326"
"203","DECK",2019-06-02 02:30:00,"1.34"
"204","DECK",2019-06-02 02:45:00,"1.349"
"205","DECK",2019-06-02 03:00:00,"1.352"
"206","DECK",2019-06-02 03:15:00,"1.349"
"207","DECK",2019-06-02 03:30:00,"1.332"
"208","DECK",2019-06-02 03:45:00,"1.307"
"209","DECK",2019-06-02 04:00:00,"1.27"
"210","DECK",2019-06-02 04:15:00,"1.227"
"211","DECK",2019-06-02 04:30:00,"1.176"
"212","DECK",2019-06-02 04:45:00,"1.114"
"213","DECK",2019-06-02 05:00:00,"1.066"
"214","DECK",2019-06-02 05:15:00,"1.023"
"215","DECK",2019-06-02 05:30:00,"0.984"
"216","DECK",2019-06-02 05:45:00,"0.946"
"217","DECK",2019-06-02 06:00:00,"0.912"
"218","DECK",2019-06-02 06:15:00,"0.864"
"219","DECK",2019-06-02 06:30:00,"0.806"
"220","DECK",2019-06-02 06:45:00,"0.764"
"221","DECK",2019-06-02 07:00:00,"0.727"
"222","DECK",2019-06-02 07:15:00,"0.676"
"223","DECK",2019-06-02 07:30:00,"0.636"
"224","DECK",2019-06-02 07:45:00,"0.521"
"225","DECK",2019-06-02 08:00:00,"0.485"
"226","DECK",2019-06-02 08:15:00,"0.45"
"227","DECK",2019-06-02 08:30:00,"0.419"
"228","DECK",2019-06-02 08:45:00,"0.397"
"229","DECK",2019-06-02 09:00:00,"0.364"
"230","DECK",2019-06-02 09:15:00,"0.337"
"231","DECK",2019-06-02 09:30:00,"0.315"
"232","DECK",2019-06-02 09:45:00,"0.194"
"233","DECK",2019-06-02 10:00:00,"0.248"
"234","DECK",2019-06-02 10:15:00,"0.2"
"235","DECK",2019-06-02 10:30:00,"0.138"
"236","DECK",2019-06-02 10:45:00,"0.125"
"237","DECK",2019-06-02 11:00:00,"0.107"
"238","DECK",2019-06-02 11:15:00,"0.131"
"239","DECK",2019-06-02 11:30:00,"0.117"
"240","DECK",2019-06-02 11:45:00,"0.134"
"241","DECK",2019-06-02 12:00:00,"0.199"
"242","DECK",2019-06-02 12:15:00,"0.293"
"243","DECK",2019-06-02 12:30:00,"0.372"
"244","DECK",2019-06-02 12:45:00,"0.456"
