datetimestamp,Baro_psi,Pressure_psi,Depth_ft,TempC,Chla_RFU,Chla_ugL,DO_mgL,SPC,Saln_psu,Turb_NTU
6/9/2020 12:00,766.1149,1.48561,4.043284,20.31927,,0.2418773,5.503224,12000.17,6.938204,56.66801
6/9/2020 13:00,765.6349,1.444314,3.948379,20.37872,,0.263676,5.409712,12017.29,6.949203,52.01683
6/9/2020 14:00,765.2148,1.415234,3.881986,21.2282,,0.7909207,5.526836,12071.22,6.987158,46.28489
6/9/2020 15:00,764.7423,1.526406,4.142538,26.83444,,0.2516632,7.33971,12112.75,7.028003,53.16498
6/9/2020 16:00,764.0522,2.182146,5.657483,27.23368,,0.2360703,9.520738,10153.65,5.810412,37.83474
6/9/2020 17:00,763.6172,2.582165,6.580117,27.29404,,0.2381591,9.571174,9947.092,5.683243,31.84567
6/9/2020 18:00,763.2572,2.787848,7.053409,26.86636,,1.727888,9.568119,9985.487,5.706697,45.73761
6/9/2020 19:00,763.0847,2.905869,7.324164,27.60056,,5.480292,9.407123,10820.6,6.222865,60.24995
6/9/2020 20:00,763.0172,2.887377,7.281597,26.5801,,4.968998,9.268451,10182.92,5.828127,31.60532
6/9/2020 21:00,763.0922,2.719922,6.895545,26.24324,,4.788375,9.207026,10080.64,5.764873,38.66801
6/9/2020 22:00,763.4522,2.433583,6.235451,25.79717,,0.4797553,8.759169,10121.23,5.789479,43.83425
6/9/2020 23:00,763.5347,2.222382,5.747305,25.47091,,0.2628897,8.410276,10381.81,5.949788,32.62415
6/10/2020 0:00,763.4747,2.165982,5.616454,25.07578,,2.432883,8.171801,10475.72,6.007251,33.68467
6/10/2020 1:00,763.4447,2.306771,5.938476,23.42763,,0.5229924,8.252441,10569.19,6.061841,84.28018
6/10/2020 2:00,763.2722,2.57621,6.559068,22.75153,,0.2614587,8.453381,10057.9,5.745118,125.1204
6/10/2020 3:00,762.9947,2.897364,7.300943,22.96925,,0.3216115,8.575565,9363.917,5.320473,113.8102
6/10/2020 4:00,762.7997,3.103157,7.77484,22.88834,,0.4014396,8.645677,9332.162,5.300905,147.8572
6/10/2020 5:00,762.7546,3.22379,8.051574,22.37838,,0.2569299,8.661978,9380.215,5.329015,142.16
6/10/2020 6:00,762.8146,3.194315,7.981137,21.33695,,0.5775436,8.695485,9592.068,5.455401,58.7664
6/10/2020 7:00,762.9346,2.933036,7.381545,21.8516,,0.2265181,8.434932,9472.216,5.38376,61.33513
6/10/2020 8:00,763.0546,2.529222,6.450594,21.73708,,0.2125628,7.641565,9719.39,5.534572,63.57081
6/10/2020 9:00,763.1296,2.116498,5.498388,21.79772,,0.2075667,6.236266,10529.67,6.0327,45.49389
6/10/2020 10:00,763.0697,1.805007,4.781154,21.8485,,0.2260021,5.478515,11145.51,6.413728,36.71089
6/10/2020 11:00,762.8221,1.595331,4.297858,22.07725,,0.2537324,5.360333,11401.91,6.573742,31.13787
6/10/2020 12:00,762.6721,1.490612,4.057535,22.19905,,0.2518601,5.274453,11473.74,6.618844,56.93282
6/10/2020 13:00,762.1471,1.436013,3.93167,22.38334,,0.2613055,5.231297,11505.33,6.639151,45.97741
6/10/2020 14:00,761.7045,1.404656,3.859682,22.92513,,1.220246,5.394618,11537.9,6.661211,44.65568
6/10/2020 15:00,761.142,1.388021,3.822091,23.78896,,3.761096,5.470496,11597.25,6.700629,32.78122
6/10/2020 16:00,760.6395,1.768682,4.708131,30.61667,,3.512911,10.23518,10500.68,6.023802,49.92894
6/10/2020 17:00,760.452,2.346498,6.038605,27.86702,,0.1825319,9.474965,9613.718,5.478568,28.73243
6/10/2020 18:00,760.1969,2.673231,6.791894,27.83838,,0.2266089,9.42669,9630.045,5.488581,25.80543
6/10/2020 19:00,760.0169,2.861308,7.225233,27.55924,,0.4704469,9.387855,9607.427,5.474679,27.51261
6/10/2020 20:00,760.1819,2.943044,7.414478,28.10814,,8.706503,9.645502,9775.79,5.578047,32.86307
6/10/2020 21:00,760.2419,2.918485,7.357115,28.22711,,11.82334,9.955557,9818.085,5.604029,29.55698
6/10/2020 22:00,760.752,2.729553,6.921428,27.81855,,4.569526,9.361696,9780.914,5.581189,33.18721
6/10/2020 23:00,761.2545,2.456433,6.290345,27.24809,,0.7428198,8.75001,9926.229,5.670395,40.70306
6/11/2020 0:00,761.157,2.262896,5.843539,26.8815,,0.2629344,8.341968,10122.9,5.791315,36.26095
6/11/2020 1:00,761.0895,2.233875,5.775573,26.40285,,1.153442,8.204838,10143.46,5.803685,35.96101
6/11/2020 2:00,760.9995,2.334229,6.004306,24.39566,,0.2551667,8.127259,10025.93,5.72897,45.79722
6/11/2020 3:00,760.9395,2.561681,6.526628,23.07996,,0.8992115,8.434833,9889.866,5.642732,112.8424
6/11/2020 4:00,760.947,2.84067,7.166393,22.04861,,0.2644726,8.760991,10200.49,5.830776,253.6819
6/11/2020 5:00,760.8495,3.025698,7.591739,21.75343,,0.2647729,8.664788,10233.05,5.849848,204.9478
6/11/2020 6:00,761.1495,3.107184,7.77793,20.8695,,0.2037153,8.866076,10239.57,5.850639,252.0748
6/11/2020 7:00,761.2095,3.012671,7.560257,20.68693,,0.1530053,8.902925,10168.75,5.806392,149.7603
6/11/2020 8:00,761.367,2.788285,7.044641,21.16361,,0.2323671,8.599269,10301.24,5.889698,68.53339
6/11/2020 9:00,761.3295,2.41752,6.191624,21.86551,,0.7800513,8.113526,10103.64,5.770658,63.30449
6/11/2020 10:00,761.187,2.061884,5.374872,23.1419,,1.763855,7.177837,10319.69,5.907222,46.93433
6/11/2020 11:00,761.067,1.764913,4.690495,23.48831,,6.596891,6.346781,10917.35,6.277371,50.41208
6/11/2020 12:00,760.827,1.565839,4.23199,23.74579,,3.775523,6.057239,11232.83,6.47375,47.63984
6/11/2020 13:00,760.7295,1.470895,4.013278,23.80964,,3.228539,5.924199,11344.41,6.543269,48.68289
6/11/2020 14:00,760.5269,1.420719,3.898159,23.95798,,6.169131,5.891463,11398.27,6.577136,50.8364
6/11/2020 15:00,760.4819,1.392967,3.834669,24.78144,,8.477048,6.414989,11440.01,6.604868,46.58261
6/11/2020 16:00,760.3469,1.508226,4.101842,26.77961,,10.51335,9.502839,11433.49,6.603437,54.49651
6/11/2020 17:00,760.0919,2.144621,5.57044,27.38454,,8.588512,8.079913,10485.47,6.015296,446.3866
6/11/2020 18:00,759.9344,2.563169,6.533471,26.23949,,2.399498,8.24386,10384.54,5.952261,481.0196
6/11/2020 19:00,760.0544,2.812916,7.108243,25.35337,,1.741474,8.414215,10214.16,5.846238,411.7227
6/11/2020 20:00,759.9419,2.993893,7.52407,25.02865,,1.724932,8.412718,10244.75,5.864661,511.2279
6/11/2020 21:00,760.1819,3.071157,7.700611,24.2337,,1.282107,8.399668,10238.79,5.859714,326.4043
6/11/2020 22:00,760.6245,2.973313,7.474604,23.8464,,0.4606324,8.430334,10223.09,5.849293,145.4752
6/11/2020 23:00,760.9995,2.747041,6.954887,24.37876,,3.396027,8.06682,10250.66,5.867285,95.24539
6/12/2020 0:00,760.767,2.446292,6.261695,24.37003,,1.845713,7.675496,10337.19,5.920618,92.62381
6/12/2020 1:00,760.8644,2.224349,5.750687,24.67031,,4.387033,7.149998,10524.13,6.036525,48.26741
6/12/2020 2:00,761.3445,2.146679,5.571206,24.57073,,3.136004,6.956941,10603.15,6.085195,47.78032
6/12/2020 3:00,761.2095,2.196104,5.681218,21.27226,,3.858815,8.252308,10516.59,6.022725,165.075
6/12/2020 4:00,761.2395,2.373857,6.088794,20.66821,,8.563952,8.571087,10788.84,6.188216,183.9076
6/12/2020 5:00,761.397,2.640339,6.703521,20.77949,,5.491035,8.698905,10359.21,5.923856,288.6628
6/12/2020 6:00,762.4096,2.819974,7.116121,20.3719,,3.87543,8.814697,10283.26,5.875423,211.1032
6/12/2020 7:00,762.3721,2.902669,7.306269,20.36296,,4.854342,8.792762,10345.62,5.913727,237.9799
6/12/2020 8:00,762.5297,2.809928,7.092934,20.56963,,3.868304,8.766,10354.24,5.919923,108.2985
6/12/2020 9:00,762.5446,2.663268,6.755547,20.30507,,5.028656,8.918725,10354.17,5.918724,69.01142
6/12/2020 10:00,762.6871,2.349455,6.033812,21.09315,,7.789401,8.578561,10530.02,6.030306,85.13609
6/12/2020 11:00,763.2572,2.026549,5.291858,22.45702,,6.299603,7.536538,10809.62,6.207783,80.246
6/12/2020 12:00,763.1147,1.7767,4.7167,22.90793,,9.753117,7.279553,11054.13,6.360583,74.46907
6/12/2020 13:00,763.1221,1.621098,4.358328,22.9902,,13.90656,7.344467,11303.77,6.515784,98.00892
6/12/2020 14:00,763.0922,1.501266,4.082275,22.8739,,18.86526,7.485065,11425.49,6.591105,93.76508
6/12/2020 15:00,762.6271,1.44909,3.96236,23.14724,,21.34504,7.805095,11485.03,6.628972,94.75707
6/12/2020 16:00,762.5671,1.480123,4.033493,23.33701,,21.32475,8.35598,11493.26,6.634643,100.7698
6/12/2020 17:00,762.0871,1.965857,5.153728,23.26394,,0.2688213,8.635944,10454.07,5.990378,862.4783
6/12/2020 18:00,762.1996,2.416736,6.190891,22.92246,,0.2628138,8.682242,10518.53,6.029274,1085.261
6/12/2020 19:00,762.2821,2.756628,6.97322,22.21533,,0.265233,8.756901,10199.89,5.830916,971.0191
6/12/2020 20:00,762.1996,2.972896,7.468655,21.33254,,0.2436433,8.844171,10467.59,5.992758,851.5018
6/12/2020 21:00,762.7546,3.064054,7.676499,20.81871,,0.2043184,8.895317,10802.94,6.197582,663.7047
6/12/2020 22:00,763.2197,3.133831,7.836198,20.55802,,0.2183688,8.883195,10872.01,6.2391,575.3021
6/12/2020 23:00,763.2872,3.001101,7.530787,20.28182,,0.2019609,8.890742,10851.9,6.225383,171.7957
6/13/2020 0:00,763.1296,2.740853,6.933108,20.15354,,0.193074,8.634915,10557.42,6.043133,144.9331
6/13/2020 1:00,763.7897,2.397099,6.142679,20.34116,,0.2323047,8.150964,10306.32,5.889462,114.2463
6/13/2020 2:00,763.7297,2.176271,5.634243,20.28985,,0.6261042,7.646716,10440.34,5.971676,75.03722
6/13/2020 3:00,763.6997,2.037372,5.314565,20.02957,,1.993649,7.269729,10704.17,6.132989,72.96871
6/13/2020 4:00,763.9323,2.027172,5.29027,19.74686,,5.399898,7.252884,10815.9,6.200493,67.81123
6/13/2020 5:00,763.7447,2.138598,5.544261,17.38654,,0.265101,9.437525,10820.9,6.188777,310.9286
6/13/2020 6:00,763.5422,2.378421,6.096852,18.30127,,0.2596504,9.320835,10671.5,6.103151,566.987
6/13/2020 7:00,763.9397,2.600068,6.606652,18.29306,,0.2416345,9.313151,10640.13,6.083797,541.4466
6/13/2020 8:00,763.9622,2.733761,6.914969,18.47442,,0.2654254,9.250237,10522.41,6.012547,308.8782
6/13/2020 9:00,763.9772,2.680224,6.7913,18.43577,,0.2466578,9.318854,10575.86,6.04517,181.8576
6/13/2020 10:00,763.9772,2.48902,6.351437,18.33615,,0.2364977,9.333196,10647.56,6.088646,177.2591
6/13/2020 11:00,763.8798,2.191051,5.66632,18.81669,,0.5604172,9.084154,10786.75,6.177316,93.87641
6/13/2020 12:00,763.8123,1.931935,5.070791,19.89302,,5.234951,7.86939,11014.52,6.323937,99.10443
6/13/2020 13:00,763.4972,1.680949,4.49393,20.57516,,9.641024,7.882221,11249.83,6.473016,114.5883
6/13/2020 14:00,763.3247,1.544846,4.180802,20.90278,,12.64414,7.84145,11380.29,6.555478,111.4895
6/13/2020 15:00,763.1296,1.46597,3.999845,21.36773,,16.26346,7.943042,11453.07,6.602729,93.1153
6/13/2020 16:00,762.7846,1.428849,3.914731,21.72334,,17.64477,8.24877,11453.88,6.604695,81.92463
6/13/2020 17:00,762.4396,1.51443,4.112604,22.96495,,13.028,8.991975,11376.2,6.560727,179.5303
6/13/2020 18:00,762.3271,2.026651,5.293394,23.5673,,0.2490736,8.517041,10747.06,6.172135,668.219
6/13/2020 19:00,762.3946,2.475259,6.323825,22.18755,,0.2419467,8.744868,11004.75,6.327695,805.4528
6/13/2020 20:00,762.6346,2.76023,6.976997,21.58653,,0.2304015,8.783387,11408.36,6.575857,765.5963
6/13/2020 21:00,762.8521,2.98116,7.483693,21.06825,,0.2479829,8.878294,11590.02,6.686548,539.9417
