Sonde,Date (MM/DD/YYYY),Time (HH:mm:ss),Site Name,Depth_m,DO_sat,DO_mgL,SPC,Turb_FNU,ph,ph_mv,TempC,Battery_V,Pressure_psi,VertPosit_m
21L101262,4/12/2022,12:15:00,TuleRed_Breach,2.031,94.1,9.52,12233.7,72.7,7.96,-67.3,12.855,5.96,,
21L101262,4/12/2022,12:30:00,TuleRed_Breach,2.007,95,9.55,12129.9,52.86,7.97,-68,13.138,5.95,,
21L101262,4/12/2022,12:45:00,TuleRed_Breach,1.955,96,9.58,12079.6,56.9,7.98,-68.5,13.491,5.95,,
21L101262,4/12/2022,13:00:00,TuleRed_Breach,1.913,97.5,9.66,12111.7,49.28,7.99,-69,13.826,5.95,,
21L101262,4/12/2022,13:15:00,TuleRed_Breach,1.879,95.9,9.63,12222.4,49.45,7.98,-68.4,13.199,5.95,,
21L101262,4/12/2022,13:30:00,TuleRed_Breach,1.801,96.1,9.64,12231.6,54.73,7.98,-68.6,13.239,5.96,,
21L101262,4/12/2022,13:45:00,TuleRed_Breach,1.747,97.5,9.71,12278.2,50.76,7.99,-69,13.582,5.95,,
21L101262,4/12/2022,14:00:00,TuleRed_Breach,1.685,97.4,9.73,12399.8,55.55,7.99,-68.9,13.399,5.95,,
21L101262,4/12/2022,14:15:00,TuleRed_Breach,1.612,98.6,9.8,12477.7,53.33,7.99,-69.1,13.591,5.95,,
21L101262,4/12/2022,14:30:00,TuleRed_Breach,1.557,99.1,9.84,12548.6,51.62,7.99,-69.2,13.661,5.95,,
21L101262,4/12/2022,14:45:00,TuleRed_Breach,1.491,99.7,9.9,12578.9,48.62,7.99,-69.2,13.631,5.95,,
21L101262,4/12/2022,15:00:00,TuleRed_Breach,1.449,99.8,9.96,12452.1,47.52,7.98,-68.2,13.409,5.95,,
21L101262,4/12/2022,15:15:00,TuleRed_Breach,1.36,99,9.9,12314.9,61.88,7.94,-66.3,13.363,5.95,,
21L101262,4/12/2022,15:30:00,TuleRed_Breach,1.328,98.4,9.79,12176.8,49.42,7.89,-63.6,13.619,5.95,,
21L101262,4/12/2022,15:45:00,TuleRed_Breach,1.284,97.6,9.72,12134.2,50.47,7.86,-61.8,13.62,5.95,,
21L101262,4/12/2022,16:00:00,TuleRed_Breach,1.216,98,9.7,12140.5,46.21,7.82,-59.9,13.85,5.96,,
21L101262,4/12/2022,16:15:00,TuleRed_Breach,1.207,97.5,9.62,12151,137.89,7.78,-57.5,14.044,5.95,,
21L101262,4/12/2022,16:30:00,TuleRed_Breach,1.165,97.3,9.57,12146.7,117.39,7.76,-56.4,14.181,5.95,,
