Sonde,Date (MM/DD/YYYY),Time (HH:mm:ss),Site Name,Depth_m,DO_sat,DO_mgL,SPC,Turb_FNU,ph,ph_mv,TempC,Battery_V,Pressure_psi,VertPosit_m,Cond_uscm,CondnLF_uscm,TDS_mgL,Sal_psu
21L101255,4/4/2022,15:30:00,TuleRed_PondC,1.867,105.8,9.89,11612.2,8.55,7.81,-60.2,16.712,6.11,,,,,,
21L101255,4/4/2022,15:45:00,TuleRed_PondC,1.863,108.7,10.11,11612.6,7.99,7.87,-63.4,16.875,6.11,,,,,,
21L101255,4/4/2022,16:00:00,TuleRed_PondC,1.861,104.7,9.75,11604.6,8.14,7.83,-61.1,16.822,6.11,,,,,,
21L101255,4/4/2022,16:15:00,TuleRed_PondC,1.86,103.9,9.69,11606.2,9.19,7.83,-61.2,16.786,6.11,,,,,,
21L101255,4/4/2022,16:30:00,TuleRed_PondC,1.861,105,9.76,11604.6,8.52,7.85,-62.3,16.942,6.1,,,,,,
21L101255,4/4/2022,16:45:00,TuleRed_PondC,1.863,107.6,9.99,11608.2,8.59,7.89,-64.6,16.979,6.11,,,,,,
21L101255,4/4/2022,17:00:00,TuleRed_PondC,1.867,108.4,10.06,11609,8.19,7.91,-65.4,17.042,6.1,,,,,,
21L101255,4/4/2022,17:15:00,TuleRed_PondC,1.871,106.8,9.92,11608.9,9.51,7.88,-64,17.005,6.11,,,,,,
21L101255,4/4/2022,17:30:00,TuleRed_PondC,1.877,106.5,9.88,11606,8.16,7.88,-64,17.019,6.1,,,,,,
21L101255,4/4/2022,17:45:00,TuleRed_PondC,1.883,107,9.92,11604,8.8,7.89,-64.4,17.035,6.1,,,,,,
21L101255,4/4/2022,18:00:00,TuleRed_PondC,1.887,106.9,9.91,11601.2,8.81,7.89,-64.3,17.079,6.1,,,,,,
21L101255,4/4/2022,18:15:00,TuleRed_PondC,1.891,107.1,9.93,11628.4,8.56,7.9,-65,17.068,6.1,,,,,,
21L101255,4/4/2022,18:30:00,TuleRed_PondC,1.897,108.2,10.03,11476.2,8.64,7.92,-66,17.116,6.1,,,,,,
21L101255,4/4/2022,18:45:00,TuleRed_PondC,1.901,109.7,10.13,11545,8.45,7.94,-67.6,17.282,6.11,,,,,,
21L101255,4/4/2022,19:00:00,TuleRed_PondC,1.907,107.6,9.95,11524.2,8.66,7.92,-66.3,17.236,6.1,,,,,,
21L101255,4/4/2022,19:15:00,TuleRed_PondC,1.912,106.2,9.86,11530.7,7.84,7.9,-65.3,17.029,6.1,,,,,,
21L101255,4/4/2022,19:30:00,TuleRed_PondC,1.914,106.2,9.85,11469.4,8.59,7.91,-65.4,17.085,6.1,,,,,,
21L101255,4/4/2022,19:45:00,TuleRed_PondC,1.912,107,9.89,11795.5,7.98,7.94,-67.2,17.191,6.1,,,,,,
21L101255,4/4/2022,20:00:00,TuleRed_PondC,1.909,104.2,9.7,11542.8,8.51,7.89,-64.5,16.906,6.1,,,,,,
21L101255,4/4/2022,20:15:00,TuleRed_PondC,1.907,103.5,9.61,11608.5,9.6,7.9,-64.8,17.014,6.1,,,,,,
21L101255,4/4/2022,20:30:00,TuleRed_PondC,1.905,104,9.69,11612.7,9.7,7.9,-65.2,16.836,6.1,,,,,,
21L101255,4/4/2022,20:45:00,TuleRed_PondC,1.903,103.5,9.65,11591.3,9.38,7.9,-65.2,16.822,6.1,,,,,,
21L101255,4/4/2022,21:00:00,TuleRed_PondC,1.9,103.4,9.65,11614.3,11.1,7.9,-65.1,16.72,6.1,,,,,,
21L101255,4/4/2022,21:15:00,TuleRed_PondC,1.896,102.6,9.6,11611.6,10.1,7.9,-64.7,16.649,6.1,,,,,,
21L101255,4/4/2022,21:30:00,TuleRed_PondC,1.894,102.5,9.59,11613.7,8.41,7.9,-64.9,16.62,6.09,,,,,,
21L101255,4/4/2022,21:45:00,TuleRed_PondC,1.89,101.5,9.51,11615,9.94,7.89,-64.2,16.562,6.09,,,,,,
21L101255,4/4/2022,22:00:00,TuleRed_PondC,1.888,100.8,9.45,11613.8,9.78,7.88,-64,16.534,6.09,,,,,,
21L101255,4/4/2022,22:15:00,TuleRed_PondC,1.885,100.7,9.45,11614.8,9.81,7.89,-64.3,16.497,6.1,,,,,,
21L101255,4/4/2022,22:30:00,TuleRed_PondC,1.877,100.1,9.4,11615.6,10.11,7.89,-64.1,16.446,6.1,,,,,,
21L101255,4/4/2022,22:45:00,TuleRed_PondC,1.874,98.9,9.3,11616.7,11.44,7.87,-63.5,16.383,6.09,,,,,,
21L101255,4/4/2022,23:00:00,TuleRed_PondC,1.872,98.7,9.29,11617.8,11.88,7.88,-63.7,16.343,6.09,,,,,,
21L101255,4/4/2022,23:15:00,TuleRed_PondC,1.869,97.7,9.2,11615.6,13.81,7.87,-63.1,16.289,6.09,,,,,,
21L101255,4/4/2022,23:30:00,TuleRed_PondC,1.869,95.5,9.02,11619,18.93,7.84,-61.6,16.145,6.09,,,,,,
21L101255,4/4/2022,23:45:00,TuleRed_PondC,1.869,96.2,9.1,11627.1,14.91,7.85,-62.2,16.118,6.09,,,,,,
21L101255,4/5/2022,0:00:00,TuleRed_PondC,1.864,95.2,9,11617.9,15.18,7.84,-61.5,16.089,6.09,,,,,,
21L101255,4/5/2022,0:15:00,TuleRed_PondC,1.865,95,9,11617.3,13.89,7.84,-61.5,16.038,6.09,,,,,,
21L101255,4/5/2022,0:30:00,TuleRed_PondC,1.868,94,8.92,11618.2,14.9,7.83,-60.9,15.982,6.09,,,,,,
21L101255,4/5/2022,0:45:00,TuleRed_PondC,1.866,94,8.93,11467.3,13.63,7.83,-60.9,15.964,6.09,,,,,,
21L101255,4/5/2022,1:00:00,TuleRed_PondC,1.864,93.5,8.89,11597.8,13.61,7.82,-60.7,15.908,6.09,,,,,,
21L101255,4/5/2022,1:15:00,TuleRed_PondC,1.861,92,8.75,11618.5,13.09,7.81,-59.6,15.872,6.09,,,,,,
21L101255,4/5/2022,1:30:00,TuleRed_PondC,1.858,92.5,8.8,11623.5,12.51,7.81,-59.6,15.849,6.09,,,,,,
21L101255,4/5/2022,1:45:00,TuleRed_PondC,1.857,92.5,8.79,11623.2,11.72,7.81,-60,15.84,6.09,,,,,,
21L101255,4/5/2022,2:00:00,TuleRed_PondC,1.859,91.7,8.73,11626.3,11.6,7.8,-59.2,15.785,6.09,,,,,,
21L101255,4/5/2022,2:15:00,TuleRed_PondC,1.863,88.5,8.44,11615.6,11.61,7.77,-57.4,15.739,6.09,,,,,,
21L101255,4/5/2022,2:30:00,TuleRed_PondC,1.868,89,8.49,11630.1,11.28,7.77,-57.4,15.695,6.08,,,,,,
21L101255,4/5/2022,2:45:00,TuleRed_PondC,1.873,86.6,8.28,11613.3,12.5,7.74,-56,15.604,6.08,,,,,,
21L101255,4/5/2022,3:00:00,TuleRed_PondC,1.879,79.8,7.64,11667,11.41,7.61,-48.7,15.542,6.09,,,,,,
21L101255,4/5/2022,3:15:00,TuleRed_PondC,1.885,78.3,7.5,11631.5,11.6,7.58,-47,15.518,6.08,,,,,,
21L101255,4/5/2022,3:30:00,TuleRed_PondC,1.896,74.5,7.14,11458.5,9.75,7.53,-44.3,15.459,6.08,,,,,,
21L101255,4/5/2022,3:45:00,TuleRed_PondC,1.903,76.1,7.3,11634.4,10.23,7.56,-45.9,15.403,6.08,,,,,,
21L101255,4/5/2022,4:00:00,TuleRed_PondC,1.918,86.8,8.3,11624.6,9.88,7.72,-54.6,15.575,6.08,,,,,,
21L101255,4/5/2022,4:15:00,TuleRed_PondC,1.937,86.5,8.29,11459.9,9.49,7.72,-55,15.511,6.08,,,,,,
21L101255,4/5/2022,4:30:00,TuleRed_PondC,1.951,81.6,7.84,11527,9.8,7.66,-51.5,15.371,6.09,,,,,,
21L101255,4/5/2022,4:45:00,TuleRed_PondC,1.97,83.2,7.99,11579.5,10.96,7.66,-51.6,15.357,6.08,,,,,,
21L101255,4/5/2022,5:00:00,TuleRed_PondC,1.989,72.3,6.98,11564,9.49,7.45,-39.7,15.149,6.08,,,,,,
21L101255,4/5/2022,5:15:00,TuleRed_PondC,2.008,68.3,6.64,11605.1,9.25,7.41,-37.5,14.779,6.08,,,,,,
