Date,Time,Site,Chl,Depth,fDOM,DOsat,DOconc,Sal,SPC,PC,Turb,TempC
3/16/2020,16:00:00,Decker Breach,0.09,-0.022,0.01,97.2,9.99,0,1.4,1.4,3.89,14.145
3/16/2020,16:15:00,Decker Breach,0.08,0.068,0.06,98.3,9.71,0,1.4,1.27,3,15.955
3/16/2020,16:30:00,Decker Breach,0.07,0.16,-0.01,99.2,9.42,0,1.4,1.15,3.17,17.882
3/16/2020,16:45:00,Decker Breach,0.09,0.181,0.08,99.1,9.2,0,1.4,1.06,2.81,18.962
3/16/2020,17:00:00,Decker Breach,0.05,0.174,0.07,98.9,9.19,0,1.4,1.07,2.8,18.924
3/16/2020,17:15:00,Decker Breach,0.09,0.162,0.07,98.8,9.21,0,1.4,1.08,2.63,18.746
3/16/2020,17:30:00,Decker Breach,0.08,0.143,0.07,98.6,9.26,0,1.4,1.07,2.62,18.406
3/16/2020,17:45:00,Decker Breach,0.06,0.12,0.08,98.4,9.32,0,1.4,1.12,2.7,17.961
3/16/2020,18:00:00,Decker Breach,0.07,0.099,0.07,98.3,9.4,0,1.4,1.17,2.77,17.503
3/16/2020,18:15:00,Decker Breach,0.07,0.079,0.09,98,9.46,0,1.4,1.18,2.77,17.068
3/16/2020,18:30:00,Decker Breach,0.07,0.06,0.09,97.8,9.52,0,1.4,1.23,2.84,16.651
3/16/2020,18:45:00,Decker Breach,0.08,0.04,0.09,97.6,9.59,0,1.4,1.2,2.79,16.231
3/16/2020,19:00:00,Decker Breach,0.09,0.019,0.1,97.4,9.66,0,1.3,1.25,2.74,15.796
3/16/2020,19:15:00,Decker Breach,0.07,-0.002,0.1,97.2,9.73,0,1.3,1.26,2.81,15.354
3/16/2020,19:30:00,Decker Breach,0.07,-0.02,0.11,97.1,9.81,0,1.3,1.29,2.81,14.924
3/16/2020,19:45:00,Decker Breach,0.06,-0.038,0.1,96.9,9.88,0,1.3,1.3,2.84,14.521
3/16/2020,20:00:00,Decker Breach,0.08,-0.055,0.09,96.8,9.95,0,1.3,1.32,3.15,14.135
3/16/2020,20:15:00,Decker Breach,0.09,-0.073,0.1,96.6,10.02,0,1.3,1.37,2.85,13.744
3/16/2020,20:30:00,Decker Breach,0.08,-0.092,0.07,96.4,10.09,0,1.3,1.36,2.83,13.341
3/16/2020,20:45:00,Decker Breach,0.08,-0.108,0.13,96.3,10.16,0,1.3,1.39,2.87,12.952
3/16/2020,21:00:00,Decker Breach,0.09,-0.122,0.11,96.2,10.22,0,1.3,1.42,2.87,12.597
3/16/2020,21:15:00,Decker Breach,0.08,-0.135,0.13,96,10.29,0,1.3,1.44,2.87,12.278
3/16/2020,21:30:00,Decker Breach,0.08,-0.147,0.09,95.9,10.34,0,1.3,1.45,2.88,11.985
3/16/2020,21:45:00,Decker Breach,0.08,-0.159,0.12,95.8,10.4,0,1.3,1.45,3.02,11.711
3/16/2020,22:00:00,Decker Breach,0.09,-0.17,0.07,95.7,10.44,0,1.3,1.47,2.88,11.451
3/16/2020,22:15:00,Decker Breach,0.09,-0.181,0.13,95.6,10.5,0,1.3,1.47,2.93,11.203
3/16/2020,22:30:00,Decker Breach,0.07,-0.191,0.11,95.5,10.54,0,1.3,1.49,2.83,10.963
3/16/2020,22:45:00,Decker Breach,0.09,-0.201,0.11,95.4,10.59,0,1.3,1.51,2.89,10.73
3/16/2020,23:00:00,Decker Breach,0.1,-0.211,0.13,95.3,10.64,0,1.3,1.55,2.96,10.505
3/16/2020,23:15:00,Decker Breach,0.09,-0.22,0.12,95.3,10.68,0,1.3,1.55,2.83,10.291
3/16/2020,23:30:00,Decker Breach,0.1,-0.228,0.11,95.1,10.72,0,1.3,1.53,2.95,10.088
3/16/2020,23:45:00,Decker Breach,0.1,-0.236,0.12,95.1,10.76,0,1.3,1.55,2.87,9.89
3/17/2020,0:00:00,Decker Breach,0.09,-0.245,0.15,95.1,10.81,0,1.3,1.57,2.97,9.694
3/17/2020,0:15:00,Decker Breach,0.08,-0.253,0.09,95,10.85,0,1.3,1.57,2.84,9.502
3/17/2020,0:30:00,Decker Breach,0.08,-0.26,0.13,94.9,10.89,0,1.4,1.57,2.9,9.321
3/17/2020,0:45:00,Decker Breach,0.07,-0.267,0.12,94.8,10.92,0,1.4,1.6,2.83,9.154
3/17/2020,1:00:00,Decker Breach,0.07,-0.273,0.07,94.8,10.96,0,1.3,1.58,2.97,8.999
3/17/2020,1:15:00,Decker Breach,0.06,-0.279,0.14,94.7,10.99,0,1.4,1.59,2.83,8.854
3/17/2020,1:30:00,Decker Breach,0.07,-0.285,0.13,94.6,11.02,0,1.4,1.61,2.84,8.716
3/17/2020,1:45:00,Decker Breach,0.08,-0.291,0.16,94.7,11.06,0,1.4,1.64,2.88,8.569
3/17/2020,2:00:00,Decker Breach,0.06,-0.298,0.07,94.6,11.09,0,1.4,1.63,2.85,8.411
3/17/2020,2:15:00,Decker Breach,0.07,-0.304,0.09,94.5,11.12,0,1.4,1.59,2.92,8.251
3/17/2020,2:30:00,Decker Breach,0.08,-0.311,0.13,94.5,11.16,0,1.4,1.66,2.84,8.092
3/17/2020,2:45:00,Decker Breach,0.08,-0.319,0.13,94.4,11.2,0,1.4,1.65,2.87,7.933
3/17/2020,3:00:00,Decker Breach,0.09,-0.328,0.14,94.4,11.24,0,1.4,1.65,2.93,7.771
3/17/2020,3:15:00,Decker Breach,0.09,-0.336,0.11,94.3,11.28,0,1.4,1.65,2.9,7.615
3/17/2020,3:30:00,Decker Breach,0.07,-0.344,0.13,94.3,11.31,0,1.4,1.66,2.9,7.462
3/17/2020,3:45:00,Decker Breach,0.08,-0.351,0.15,94.1,11.34,0,1.4,1.69,2.88,7.317
3/17/2020,4:00:00,Decker Breach,0.1,-0.357,0.11,94.1,11.37,0,1.4,1.66,2.88,7.173
3/17/2020,4:15:00,Decker Breach,0.08,-0.363,0.08,94.1,11.41,0,1.4,1.7,2.88,7.024
3/17/2020,4:30:00,Decker Breach,0.09,-0.37,0.12,94,11.44,0,1.4,1.7,2.93,6.874
3/17/2020,4:45:00,Decker Breach,0.09,-0.377,0.13,93.9,11.48,0,1.4,1.67,2.92,6.72
3/17/2020,5:00:00,Decker Breach,0.09,-0.383,0.13,93.9,11.52,0,1.4,1.7,2.86,6.56
3/17/2020,5:15:00,Decker Breach,0.06,-0.391,0.1,93.9,11.57,0,1.4,1.73,2.93,6.393
3/17/2020,5:30:00,Decker Breach,0.1,-0.398,0.14,93.7,11.6,0,1.4,1.74,2.85,6.221
3/17/2020,5:45:00,Decker Breach,0.08,-0.405,0.12,93.6,11.64,0,1.4,1.76,2.89,6.049
3/17/2020,6:00:00,Decker Breach,0.1,-0.41,0.08,93.6,11.69,0,1.4,1.73,2.87,5.894
3/17/2020,6:15:00,Decker Breach,0.08,-0.415,0.09,93.6,11.72,0,1.4,1.76,2.87,5.771
3/17/2020,6:30:00,Decker Breach,0.09,-0.417,0.12,93.6,11.75,0,1.4,1.76,2.91,5.679
3/17/2020,6:45:00,Decker Breach,0.08,-0.419,0.12,93.6,11.76,0,1.4,1.71,2.86,5.614
3/17/2020,7:00:00,Decker Breach,0.09,-0.42,0.11,93.5,11.77,0,1.4,1.76,2.83,5.574
3/17/2020,7:15:00,Decker Breach,0.08,-0.42,0.14,93.5,11.77,0,1.4,1.74,2.81,5.554
3/17/2020,7:30:00,Decker Breach,0.09,-0.408,0.1,93.6,11.78,0,1.4,1.77,2.71,5.569
,,,,,,,,,,,,
,,MEAN VALUE:,6.27,0.857,8.8,76,7.78,0.11,221.7,2.01,34.33,14.145
,,STANDARD DEVIATION:,21.66,0.329,2.11,20.5,1.98,0.01,22.6,7.98,182.2,1.549
,,,,,,,,,,,,
,,SENSOR SERIAL NUMBER:,19B104102,19B104258,19B104082,19B103183,19B103183,19A106775,19A106775,19B104102,19B103730,19A106775
Date (MM/DD/YYYY),Time (HH:mm:ss),Site Name,Chlorophyll RFU,Depth m,fDOM RFU,ODO % sat,ODO mg/L,Sal psu,SpCond µS/cm,BGA PC RFU,Turbidity FNU,Temp °C
3/17/2020,11:45:00,Decker Breach,0.41,1.107,8.15,102.4,10.65,0.13,280.1,0.53,3.8,13.557
3/17/2020,12:00:00,Decker Breach,0.47,1.055,8.17,98.7,10.27,0.13,278.3,0.49,4.53,13.525
3/17/2020,12:15:00,Decker Breach,0.42,1.005,8.28,98,10.2,0.13,277.1,0.5,4.36,13.495
