ObjectID,GlobalID,Sonde ID,Other SondeID,Discrete or Continuous Deployment,Pre- or Post-Deployment,Deployment Start/Stop Time,Calibration Date and Time,Verification Instruments,Which Turbidity standard?,Lot #,Expiration Date,Open Date,Turbidity Standard concentration,Lot #,Expiration Date,Open Date,Which SPC standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,SpC Standard concentration,Lot #,Expiration Date,Open Date,Which pH standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Which Rhodamine standard?,Lot #,Expiration Date,Open Date,Which fDOM standard?,Lot #,Expiration Date,Open Date,Specific Conductivity in Air,fDOM in DI (pre-cal RFU),fDOM in DI (post-cal RFU),fDOM in standard (pre-cal RFU),fDOM in standard (post-cal RFU),fDOM in DI (pre-cal QSU),fDOM in DI (post-cal QSU),fDOM in standard (pre-cal QSU),fDOM in standard (post-cal QSU),Chl in DI (pre-cal RFU),Chl in DI (post-cal RFU),Chl in rhodamine (pre-cal RFU),Chl in rhodamine (post-cal RFU),Chl in DI (pre-cal ug/L),Chl in DI (post-cal ug/L),Chl in rhodamine (pre-cal ug/L),Chl in rhodamine (post-cal ug/L),PC in DI (pre-cal RFU),PC in DI (post-cal RFU),PC in rhodamine (pre-cal RFU),PC in rhodamine (post-cal RFU),PC in DI (pre-cal ug/L),PC in DI (post-cal ug/L),PC in rhodamine (pre-cal ug/L),PC in rhodamine (post-cal ug/L),Turbidity in DI (pre-cal),Turbidity in DI (post-cal),Turbidity in standard (pre-cal),Turbidity in standard (post-cal),SpC in standard (pre-cal),SpC in standard (post-cal),SpC cell constant,pH in 7 (pre-cal),pH in 7 (post-cal),pH in 7 voltage,pH in 10 (pre-cal),pH in 10 (post-cal),pH in 10 voltage,pH in 4 (pre-cal),pH in 4 (post-cal),pH in 4 voltage,Delta slope (4 to 7),Delta slope (4 to 7),Delta slope (7 to 10),Delta slope (7 to 10),Temperature (NIST),Temperature (sonde),Pressure from handheld,Pressure from barometer,DO concentration (pre-cal),DO concentration (post-cal),DO percent (pre-cal),DO percent (post-cal),DO gain,Temperature during DO calibration,Notes,CreationDate,Creator,EditDate,Editor,x,y
1,282e194d-6441-42da-947a-55349b660858,19C101552,,Continuous,Pre,2/14/2024 2:40:00 PM,2/13/2024 3:11:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.1,-0.02,0,,,,,,,-0.07,0,,,-0.34,0,,,-0.63,0,,,-0.57,0,,,-0.03,0,123.65,124,1402.3,1412,5.29,,,,,,,,,,,,,,19.935,19.992,,,9.06,9.09,99.7,100.1,1.07,20,keep an eye on PC,2/13/2024 8:55:33 PM,cdfw_frpmt,2/13/2024 8:55:33 PM,cdfw_frpmt,-121.241605170184,37.9067949112858
2,fb044cc6-f458-4f45-84d8-6d84c9aaaae2,19C101551,,Continuous,Pre,2/14/2024 2:40:00 PM,2/13/2024 2:41:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.8,-0.06,0,,,,,,,0.01,0,,,-0.15,0.01,,,-0.28,0,,,-0.29,0,,,-0.12,0,123.65,124,1410.2,1412,5.27,,,,,,,,,,,,,,19.916,19.929,,,9.09,9.11,100,100.3,1.01,19.945,keep an eye on PC,2/13/2024 8:59:26 PM,cdfw_frpmt,2/13/2024 8:59:26 PM,cdfw_frpmt,-121.241620844343,37.9068724019806
3,53ffd216-cfcb-43ce-a09d-ca561cb6f7f8,18D101027,,Discrete,,2/13/2024 3:42:00 PM,2/13/2024 3:41:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,-0.1,-0.03,0,,,,,,,-0.05,0,,,-0.11,0.1,,,-0.29,0,,,-0.29,-0.01,,,-0.04,0,123.74,123.99,1402.7,1412,5.26,7.01,7,-18.4,10.02,10,-188.8,3.93,3.99,156.2,174.69,58.23,170.3,56.77,19.855,19.889,760.8,764,9.11,9.08,100.3,99.9,1.09,20.065,keep an eye on PC,2/13/2024 9:02:58 PM,cdfw_frpmt,2/13/2024 9:02:58 PM,cdfw_frpmt,-121.241615563744,37.9067819193359
4,b7a56acb-d84a-4136-b672-5d4fa319c213,18D101365,,Discrete,,2/14/2024 2:40:00 PM,2/13/2024 4:20:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.1,-0.02,0,,,,,,,0.02,0,,,0.05,-0.01,,,-0.04,0,,,-0.02,0,,,-0.12,0,123.61,124,1406.6,1412,5.25,,,,,,,,,,,,,,19.858,19.854,760.8,764,9.13,9.09,100.6,100.1,1.04,20.036,,2/13/2024 10:50:39 PM,cdfw_frpmt,2/13/2024 10:50:39 PM,cdfw_frpmt,-121.241685636454,37.9067438654955
5,7c26031f-85f9-40f8-ba75-922e81a02fc7,19C101553,,Continuous,Post,2/14/2024 4:54:00 PM,2/15/2024 4:20:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001725,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.3,-0.03,0,,,,,,,0,0,,,-0.01,0,,,0.04,0,,,0.01,0,,,0.03,0,123.76,124,9938.9,9999.9,5.29,,,,,,,,,,,,,,,,764.6,,10.85,10.66,102.4,100.6,1.08,12.769,Not sure if pre-deployment calibration was done with 1412 spc standard or 10000. ran out of air for SpC in Air,2/15/2024 5:56:51 PM,cdfw_frpmt,2/15/2024 5:56:51 PM,cdfw_frpmt,-121.282641878465,38.613667669742
6,d25304c7-86da-407f-9f81-04381db64a48,19C101554,,Continuous,Post,2/14/2024 6:14:00 PM,2/15/2024 5:13:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001725,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.4,0.03,0,,,,,,,0.01,0,,,-0.01,0,,,0.07,0,,,0.09,0,,,0.04,0,124.04,124,10010.2,10000,5.28,,,,,,,,,,,,,,,,764.6,,10.74,10.65,101.5,100.5,1.05,12.776,Not sure if pre-deployment calibration was done with 1412 spc standard or 10000. ran out of air for SpC in Air,2/15/2024 6:02:45 PM,cdfw_frpmt,2/15/2024 6:02:45 PM,cdfw_frpmt,-121.282662749403,38.6136255925881
7,b6b83db4-4c10-4e0d-9afd-9a7ba64992be,18D101027,,Discrete,,3/4/2024 6:38:00 PM,2/23/2024 7:13:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0,0.02,0,,,,,,,0.03,0,,,,,,,0.31,0,,,,,,,0.05,0,124,124,10042.2,10000,5.23,7.09,7,-22.3,10.01,10,-190.2,4.03,3.98,153.7,176,58.67,167.85,55.95,,,761.1,,10.17,10.07,101.1,100.7,1.08,15.117,PC calibratiom was likely bad due to use of DI water straight from system (needs to sit before use),2/23/2024 9:40:38 PM,cdfw_frpmt,2/23/2024 9:40:38 PM,cdfw_frpmt,-121.282646069416,38.6136321304726
8,a44080df-5a1b-44b3-a9e8-6b664cb86da7,18D101365,,Discrete,,3/4/2024 6:38:00 PM,2/23/2024 7:30:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.1,0.02,0,,,,,,,-0.02,0,,,,,,,0.04,0,,,,,,,0.12,0,123.82,124,10017.5,10000,5.24,6.77,7,-17.1,9.73,10,-186.9,3.8,4,153.4,170.54,58.65,169.74,56.58,,,761.1,,10.14,10.08,100.8,100.2,1.05,15.08,put new pH sensor module 23C100416,2/23/2024 9:43:43 PM,cdfw_frpmt,2/23/2024 9:43:43 PM,cdfw_frpmt,-121.282686637827,38.613649061917
9,5108d44b-4be6-4304-b380-c1c712227a07,19C101554,,Discrete,,3/7/2024 3:38:00 PM,2/23/2024 6:42:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.2,0.01,0,,,,,,,-0.02,0,,,,,,,-0.02,0,,,,,,,-0.03,0,124.35,124,10015.5,10000,5.27,,,,,,,,,,,,,,,,761.1,,10.02,10.08,99.7,100.3,1.06,15.092,,2/23/2024 9:46:21 PM,cdfw_frpmt,2/23/2024 9:46:21 PM,cdfw_frpmt,-121.282659480461,38.6136402609186
10,b2d90606-5688-4ea6-8fb3-c59bcce21d49,18D101365,,Discrete,,3/18/2024 12:31:00 PM,3/15/2024 10:23:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.1,0.01,0,,,0.05,0,,,0,0,,,-0.02,-0.01,,,0.01,0,,,0.01,0,,,-0.05,0,124.12,124,1412.3,1412,5.24,7.06,7,-20.2,10.06,10,-190.9,4.01,3.99,153.3,173.48,57.83,170.75,56.92,14.915,14.901,751.7,,10.03,9.99,99.3,98.9,1.04,14.924,,3/15/2024 11:52:33 PM,cdfw_frpmt,3/15/2024 11:52:33 PM,cdfw_frpmt,-121.282636597866,38.6136235809313
11,d3b98e6f-8cb8-4281-8ba1-fda59f53989e,18D101027,,Discrete,,3/18/2024 12:31:00 PM,3/15/2024 9:36:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0,-0.01,0,,,-0.05,0,,,-0.01,0,,,0.02,0,,,-0.04,0,,,0.24,0,,,-0.05,0,124.22,124,1411.1,1412,5.24,7.09,7,-24.7,9.98,10,-191.3,3.98,3.97,154.3,179.02,59.67,166.1,55.54,14.879,14.927,751.9,,10.06,9.96,99.9,99.1,1.08,15.052,pH sensor gave yellow score for second time,3/15/2024 11:56:38 PM,cdfw_frpmt,3/15/2024 11:56:38 PM,cdfw_frpmt,-121.282668952012,38.6136938631894
12,ac525812-6ac9-4eda-a626-5339edebe594,18D101027,,Discrete,,4/2/2024 7:49:00 PM,3/29/2024 7:51:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0,0.06,0,,,,,,,0.02,0,,,,,,,0.05,0,,,,,,,0.01,0,124.08,124,10004.4,10000,5.24,7.41,7,-23.9,10.31,10,-190.9,4.32,3.97,154.5,178.36,59.45,166.99,55.66,15.804,15.862,750.6,,,9.76,98.7,98.6,1.09,15.905,"used old DI water from 5 gal jug with pump, factory reset pH sensor since it had Yellow score when calibrations were good, forgot to get DOmgL pre",3/29/2024 10:25:04 PM,cdfw_frpmt,3/29/2024 10:25:04 PM,cdfw_frpmt,-121.282574907058,38.6136412248375
