ObjectID,GlobalID,Station,Crewmembers,Other Cremembers,Date,Arrival Time,Recovery Stop Time,Deployment Start Time,Departure Time,Recovered Sonde ID,Recovered Other SondeID,Deployed Sonde ID,Deployed Other SondeID,Verification Sonde ID,Verification Other SondeID,Is there a buoy?,Recovery Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Verification Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Recovery Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Verification Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Recovery Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Verification Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Is there a buoy?,Deployed Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Verification Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Notes,CreationDate,Creator,EditDate,Editor,x,y
1,9fddd951-9606-488d-8753-f0ddc4c6266b,FLYW_Bifurcation,"DMC,ED",,1/27/2022 7:00:00 PM,10:22,10:29,11:06,11:20,19C101551,,19C101554,,18D101027,,arrival_yes,10:31,10.133,10.01,764,,8.95,0.61,1.835,18.79,10:36,10.102,10.18,763,,9.47,0.897,1.751,23.183,10:44,10.166,10.06,763,,7.15,0.565,2.91,18.92,10:42,10.126,10.17,765,,7.45,0.951,2.015,23.373,11:01,10.216,10.08,757,,7.45,0.559,1.525,18.87,10:58,10.141,10.24,758,,7.2,0.987,2.1,23.296,departure_yes,11:08,10.187,10.32,764,,6.91,0.785,1.657,19.115,11:11,10.146,10.3,756,,7.45,0.816,1.441,23.315,4 PRISCU plus eggs in sensor guard,7/3/2023 5:28:44 PM,cdfw_frpmt,7/3/2023 5:28:44 PM,cdfw_frpmt,0,0
2,1df9a6e4-e20f-4bef-8e7c-b9631524cf72,DECK_Interior,"DMC,ED",,1/27/2022 7:00:00 PM,08:20,08:59,09:01,09:12,19C101552,,19C101553,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,08:37,9.225,10.17,266.5,,8.15,0.57,0.685,11.822,08:34,9.402,10.24,261.6,,8.02,0.59,0.425,14.237,08:58,9.451,10.27,264.2,,7.5,0.605,0.55,11.739,08:55,9.44,10.28,259.9,,6.65,0.578,0.345,14.146,departure_no,,,,,,,,,,,,,,,,,,,No arrival & departure readings because there was no buoy; Replace wiper brush on 19C101552,7/3/2023 6:08:29 PM,cdfw_frpmt,7/3/2023 6:08:29 PM,cdfw_frpmt,0,0
3,ad8ff40f-41c0-4b1e-8f33-b286e6280611,FLYW_Bifurcation,"DMC,SH,other",GP,3/1/2022 7:00:00 PM,14:05,14:15,14:56,15:09,19C101554,,19C101551,,18D101027,,arrival_yes,14:19,13.085,11.76,887,,6.63,0.865,3.349,19.941,14:24,12.995,11.74,887,8.2,5.85,0.889,2.638,24.234,14:28,13.225,11.59,883,,6.92,0.831,2.808,19.66,14:26,13.135,11.66,884,,6.58,1.139,2.858,23.819,14:46,14.166,11.5,893,,8.94,1.034,3.738,19.619,14:45,14.021,11.6,890,8.18,8.48,0.907,2.96,23.714,departure_yes,14:54,12.912,11.42,864,,7.92,0.547,2.959,18.7,14:57,12.828,11.3,858,8.19,6.75,0.824,2.266,23.252,2 Fish and lots of eggs in sensor guard,7/3/2023 6:20:08 PM,cdfw_frpmt,7/3/2023 6:20:08 PM,cdfw_frpmt,0,0
4,1fef8849-a967-4fa6-8f17-17d313f829cb,DECK_Interior,"DMC,SH,other",GP,3/1/2022 7:00:00 PM,12:25,12:25,13:07,13:07,19C101553,,19C101552,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,12:39,13.113,11.11,266.7,,6.77,0.626,0.921,9.337,12:36,13.155,11.02,265.8,7.87,5.88,0.493,0.508,11.22,12:55,14.567,10.99,268.2,,7.58,0.514,0.72,8.767,12:53,14.51,11.11,266.8,7.85,7.12,0.578,0.983,10.567,departure_no,,,,,,,,,,,,,,,,,,,Replace wiper brush; did not have stop or start deployment times,7/3/2023 6:28:28 PM,cdfw_frpmt,7/3/2023 6:28:28 PM,cdfw_frpmt,0,0
5,3452194c-3cb9-420b-8cf4-7468b0689960,FLYW_Bifurcation,"DMC,SH,other",GP,3/29/2022 7:00:00 PM,13:25,13:40,14:10,14:15,19C101551,,19C101554,,18D101027,,arrival_yes,13:40,17.896,6.93,917,,62.45,0.616,3.231,11.318,13:37,17.948,7.13,922,8.1,32.34,0.717,2.121,17.184,13:46,17.842,6.96,897,,35.1,0.468,2.471,13.576,13:48,17.944,7.03,903,8.06,37.84,0.784,2.146,16.293,14:02,18.352,7.05,914,,34.61,0.416,2.221,13.665,14:00,18.352,6.99,904,8.07,37.01,0.631,2.045,16.411,departure_yes,14:07,17.834,6.95,896,,30.46,0.597,2.174,13.794,14:11,17.735,6.72,881,8.05,24.36,0.645,1.679,17.35,Crayfish in sensor guard; battery on deployed sonde was 90.4%,7/3/2023 6:43:34 PM,cdfw_frpmt,7/3/2023 6:43:34 PM,cdfw_frpmt,0,0
6,1ac99cad-2fcf-497d-8b6d-11bcb1d7eeea,DECK_Interior,"DMC,SH,other",GP,3/29/2022 7:00:00 PM,12:05,12:15,13:00,13:15,19C101552,,19C101553,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,12:18,17.045,9.91,353.5,,9,0.57,1.34,8.915,12:14,16.953,9.93,354.9,7.81,7.25,0.477,0.757,10.601,12:30,17.916,9.88,359.6,,7.81,0.565,1.64,8.743,12:32,17.89,9.99,356,7.81,6.97,0.393,0.636,10.42,departure_no,,,,,,,,,,,,,,,,,,,Did not record Start Deployment Time or Departure Time,7/3/2023 6:50:52 PM,cdfw_frpmt,7/3/2023 6:50:52 PM,cdfw_frpmt,0,0
7,9db54920-7734-442d-8424-6a1d0666892a,FLYW_Bifurcation,"DMC,ED,other",KS;GP,5/4/2022 7:00:00 PM,09:34,09:45,10:16,10:56,19C101554,,19C101551,,18D101365,,arrival_yes,09:41,18.748,8.17,446.1,,52.44,0.441,0.608,10.256,09:37,18.703,8.35,438.9,8.45,14.41,0.12,0.446,11.673,09:45,18.947,8.38,435.8,,24.54,0.401,0.636,10.087,09:48,18.987,8.46,435.4,8.5,17.02,0.198,0.545,11.209,10:07,19.035,8.02,466.4,,17.14,0.351,0.546,11.304,10:05,18.944,8.14,463.4,8.4,17.43,0.156,0.488,11.741,departure_yes,10:11,18.622,7.76,483.1,,17.18,0.135,0.633,11.653,10:18,18.771,7.82,492.1,8.28,18.1,0.169,0.532,12.151,Battery on deployment: 90.4%; Battery on recovered: 79.8%; Did 1 lampara after deployment,7/3/2023 7:00:46 PM,cdfw_frpmt,7/3/2023 7:00:46 PM,cdfw_frpmt,0,0
8,c9785755-2fd7-4623-82d7-46e853bc49dd,DECK_Interior,"DMC,ED,other",KS;GP,5/5/2022 7:00:00 PM,07:25,07:34,08:02,08:06,19C101553,,19C101552,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,07:33,16.834,8.23,1332,,14.56,0.484,0.653,7.544,07:30,17.014,8.28,1328,7.56,12.35,0.335,0.635,8.958,07:56,16.853,8.2,1286,,11.85,0.443,0.556,7.612,07:53,16.881,8.28,1280,7.54,11.4,0.382,0.557,8.986,departure_no,,,,,,,,,,,,,,,,,,,Battery on deployment: 75.3%; Battery on recovery: 84.5%,7/3/2023 7:58:16 PM,cdfw_frpmt,7/13/2023 11:42:41 PM,cdfw_frpmt,0,0
9,944f0264-b998-420f-87d1-d9741ef00461,FLYW_Bifurcation,"DMC,SH,other",GP,6/6/2022 7:00:00 PM,09:42,09:57,10:18,10:31,19C101551,,19C101554,,18D101027,,arrival_yes,09:50,21.544,8.9,210.8,,23.6,0.072,0.428,7.745,09:54,21.587,8.95,208.8,8.93,13.24,0.178,0.29,9.912,09:58,21.63,8.86,209.1,,16.23,0.06,0.44,7.68,09:56,21.7,8.96,210.4,8.95,15.2,0.21,0.33,9.76,10:17,21.745,8.81,209.3,,11.28,0.043,0.357,7.994,10:15,21.846,8.89,209.3,8.93,12.79,0.172,0.319,9.08,departure_yes,10:22,21.771,8.87,211.6,,11.92,0.034,0.3,8.122,10:26,21.659,8.92,208.8,8.92,11.67,0.147,0.32,9.939,Low PC could be due to bad calibration on May 4?,7/3/2023 8:09:12 PM,cdfw_frpmt,7/3/2023 8:09:12 PM,cdfw_frpmt,0,0
10,3d5de5b3-40d3-4413-819d-49d8401a1522,DECK_Interior,"DMC,SH,other",GP,6/6/2022 7:00:00 PM,08:10,08:44,08:46,08:52,19C101552,,19C101553,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,08:23,19.869,7.17,1707,,10.02,0.345,0.739,6.638,08:20,20,7.26,1695,7.4,10.23,0.285,0.458,7.67,08:43,19.9,7.25,1712,,10.02,0.407,0.797,6.542,08:42,19.923,7.24,1702,7.4,10,0.39,0.528,7.757,departure_no,,,,,,,,,,,,,,,,,,,,7/3/2023 8:15:33 PM,cdfw_frpmt,7/3/2023 8:15:33 PM,cdfw_frpmt,0,0
